[ 2013-01-14T15:26:27+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-14T15:26:27+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.046686s ]
[ 2013-01-14T15:26:27+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.083884s ]
[ 2013-01-14T15:26:27+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-14T15:26:27+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.121513s ]
[ 2013-01-14T15:26:27+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.121638s ]
[ 2013-01-14T15:26:43+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-14T15:26:43+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001776s ]
[ 2013-01-14T15:26:43+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001938s ]
[ 2013-01-14T15:26:43+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-14T15:26:43+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001573s ]
[ 2013-01-14T15:26:43+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001674s ]
[ 2013-01-14T15:26:44+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-14T15:26:44+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.000925s ]
[ 2013-01-14T15:26:44+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001032s ]
[ 2013-01-14T15:26:44+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
