[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run ContentReplace Behavior [ RunTime:0.001083s ]
[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run TokenBuild Behavior [ RunTime:0.001027s ]
[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000833s ]
[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run ShowRuntime Behavior [ RunTime:0.001029s ]
[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004232s ]
[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_end ] --START--
[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run ShowPageTrace Behavior [ RunTime:0.000911s ]
[ 2012-11-28T08:46:48+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_end ] --END-- [ RunTime:0.000980s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.000957s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001069s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000597s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000666s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_template ] --START--
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000969s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001043s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.017902s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017996s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000451s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000464s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000254s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000510s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001877s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_end ] --START--
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000954s ]
[ 2012-11-28T08:46:55+08:00 ] /ComputerAssets/index.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001099s ]
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | INFO: Tag[ route_check ] --START--
