[ 2013-01-10T13:03:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.038404s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001577s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001685s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.012074s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.012167s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001027s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001132s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000733s ]
[ 2013-01-10T15:51:18+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000805s ]
[ 2013-01-10T15:51:20+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T15:51:20+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001015s ]
[ 2013-01-10T15:51:20+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001116s ]
[ 2013-01-10T15:51:20+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T15:51:20+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000698s ]
[ 2013-01-10T15:51:20+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000769s ]
[ 2013-01-10T16:46:30+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:46:30+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.012775s ]
[ 2013-01-10T16:46:30+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.012908s ]
[ 2013-01-10T16:46:30+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:46:30+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.009197s ]
[ 2013-01-10T16:46:30+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009293s ]
[ 2013-01-10T16:47:23+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --START--
[ 2013-01-10T16:47:23+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run CheckRoute Behavior [ RunTime:0.001025s ]
[ 2013-01-10T16:47:23+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ route_check ] --END-- [ RunTime:0.001127s ]
[ 2013-01-10T16:47:23+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --START--
[ 2013-01-10T16:47:23+08:00 ] /ComputerAssets/index.php/User/show | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000710s ]
[ 2013-01-10T16:47:23+08:00 ] /ComputerAssets/index.php/User/show | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000782s ]
